Starting Balance: 100000.00
Trade 226: LOSS | Profit: -0.01 | Balance: 102558.73 | Win Rate: 0.4425
Trade 227: WIN | Profit: 0.16 | Balance: 102588.89 | Win Rate: 0.4449
Trade 228: LOSS | Profit: -0.06 | Balance: 102578.84 | Win Rate: 0.4430
Trade 229: LOSS | Profit: -0.04 | Balance: 102568.80 | Win Rate: 0.4410
Trade 230: LOSS | Profit: -0.00 | Balance: 102558.80 | Win Rate: 0.4391
Trade 231: WIN | Profit: 0.02 | Balance: 102588.82 | Win Rate: 0.4416
Trade 232: WIN | Profit: 0.02 | Balance: 102618.84 | Win Rate: 0.4440
Trade 233: LOSS | Profit: -0.15 | Balance: 102608.69 | Win Rate: 0.4421
Trade 234: WIN | Profit: 0.05 | Balance: 102638.73 | Win Rate: 0.4444
Trade 235: LOSS | Profit: -0.01 | Balance: 102628.73 | Win Rate: 0.4426
Trade 236: LOSS | Profit: -0.01 | Balance: 102618.72 | Win Rate: 0.4407
Trade 237: WIN | Profit: 0.02 | Balance: 102648.74 | Win Rate: 0.4430
Trade 238: LOSS | Profit: -0.01 | Balance: 102638.73 | Win Rate: 0.4412
Trade 239: LOSS | Profit: -0.10 | Balance: 102628.63 | Win Rate: 0.4393
Trade 240: WIN | Profit: 0.01 | Balance: 102658.64 | Win Rate: 0.4417
Trade 241: WIN | Profit: 0.03 | Balance: 102718.70 | Win Rate: 0.4440
Trade 242: LOSS | Profit: -0.00 | Balance: 102708.69 | Win Rate: 0.4421
Trade 243: LOSS | Profit: -0.30 | Balance: 102698.39 | Win Rate: 0.4403
Trade 244: WIN | Profit: 0.00 | Balance: 102728.39 | Win Rate: 0.4426
Trade 245: LOSS | Profit: -0.02 | Balance: 102718.37 | Win Rate: 0.4408
Trade 246: LOSS | Profit: -0.02 | Balance: 102708.35 | Win Rate: 0.4390
Trade 247: WIN | Profit: 0.12 | Balance: 102738.47 | Win Rate: 0.4413
Trade 248: WIN | Profit: 0.02 | Balance: 102768.48 | Win Rate: 0.4435
Trade 249: LOSS | Profit: -0.65 | Balance: 102757.83 | Win Rate: 0.4418
Trade 250: LOSS | Profit: -0.27 | Balance: 102747.56 | Win Rate: 0.4400
Trade 251: LOSS | Profit: -0.04 | Balance: 102737.52 | Win Rate: 0.4382
Trade 252: WIN | Profit: 0.01 | Balance: 102797.59 | Win Rate: 0.4405
Trade 253: LOSS | Profit: -0.04 | Balance: 102787.55 | Win Rate: 0.4387
Trade 254: LOSS | Profit: -0.04 | Balance: 102777.51 | Win Rate: 0.4370
